loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
514,3,0,1,-0.5651872153008352,-0.5781749670152957,1.5975409058811356,0.7416349387097374,-0.9260822836556286,-0.7891976642928406,-0.8403788968730764,-0.7777024136512397, Approved
476,0,1,0,-0.9277919520098912,-0.7911368946079601,0.5461470145591959,0.3760488879714381,-0.3230753013521485,-0.4562097473524569,-0.9627950878066062,-0.619862222407301, Approved
1460,0,0,0,0.9577526788772004,1.551444308911348,-0.8557115072033905,-1.1791425659629142,0.622178887123577,1.993629927280365,1.084893924172437,-0.3357498781682113, Rejected
1498,0,1,1,-1.4716990570734754,-1.4300226773859532,-0.8557115072033905,-0.4595763708589601,-1.154247087770459,-0.7416279618727857,-1.4190736176497625,-1.3143590638806313, Rejected
3092,1,0,1,0.0149803634336545,-0.2643363368787377,1.5975409058811356,0.0220687436057833,-0.5023476474423724,-1.1221855812332242,-0.295070409987353,0.8006994987881472, Approved
3605,5,0,0,-1.5442200044152867,-1.4748567674054611,1.2470762754404892,0.9099205811130816,-0.86089233962282,-1.0984007300231966,-1.4190736176497625,-1.345927102129419, Approved
384,3,1,0,-0.9640524256807969,-0.8359709846274683,-1.5566407680846837,0.4746990921389157,-0.1112079832455204,-0.5751340034025939,-0.8069926629821137,-0.8724065283976029, Approved
1587,5,0,0,0.5226269948263331,0.7444306885601987,0.8966116449998425,0.7416349387097374,-1.1216521157540549,0.0908418304781732,0.283624310789333,1.4951963402614774, Approved
2015,4,0,1,1.392878362928068,2.167913046679587,0.8966116449998425,1.4147775083231138,1.877085309755144,1.4703632006597624,0.6508728835899222,1.8424447609981425, Approved
1520,4,0,1,1.066534099889917,0.7444306885601987,0.8966116449998425,-0.5988472473306932,-0.8119998815982135,0.0908418304781732,0.9179627547176236,0.8954036135345104, Rejected
4133,2,0,1,1.0302736262190118,1.1815630662504044,-0.1547822463220973,-0.5059999963495379,2.4311998340340173,-1.003261325183087,0.9624777332389072,1.5583324167590529, Rejected
664,5,1,0,1.5016597839407846,0.5650943284821656,1.5975409058811356,-0.4711822772316045,0.3451216249841402,2.754745166001242,1.5634299432762349,1.779308684500567, Rejected
309,3,0,0,1.6829621522953129,0.5650943284821656,0.5461470145591959,-0.8599801407151927,-0.4860501614341702,2.707175463581187,1.5189149647549514,0.5481551927978453, Rejected
2530,1,1,1,-1.6530014254280034,-1.5084823349200926,0.1956823841185492,-0.7671328897340373,-1.056462171721246,-1.1459704324432516,-1.4858460854316875,-1.4090631786269945, Rejected
2579,3,0,1,-0.7102291099844577,-0.8695965521420995,-0.8557115072033905,-1.0746894086091143,-0.8445948536146178,0.2097660865283102,-0.5955465150060169,-0.746134375402452, Rejected
281,1,0,1,-1.4716990570734754,-1.2618948398127972,0.5461470145591959,0.6545906409149043,-0.958677255672033,-0.9081219203429776,-1.452459851540725,-1.1565188726366926, Approved
3359,5,0,0,-1.7255223727698148,-1.6205675599688634,-0.8557115072033905,0.7068172195918042,-1.1216521157540549,-1.0746158788131692,-1.6082622763652177,-1.5037672933733577, Approved
1570,4,1,1,0.0875013107754658,-0.2979619043933689,-1.5566407680846837,0.0104628372331389,0.5080964850661619,-0.9556916227630324,0.6286153943292805,0.8954036135345104, Approved
2012,5,0,1,0.7039293631808612,0.3857579684041324,-1.2061761376440372,-1.150127800031303,0.8829386632548116,1.9698450760703377,0.9290914993479444,0.3903150015539066, Rejected
551,2,1,0,-0.673968636313552,-0.4997153094811562,-0.1547822463220973,-1.0456746426775034,-0.0460180392127117,0.257335788948365,-0.5399027918544125,-0.4304539929145746, Rejected
3956,2,0,0,0.3775851001427107,-0.1074170218104587,-1.2061761376440372,-0.3899409326230936,-0.6816199935325962,1.137375283719379,-0.0279805388596517,-0.2410457634218481, Rejected
2375,0,1,0,-0.0575405839081566,0.4642176259382719,0.1956823841185492,0.289004590176605,-0.0297205532045095,-0.9081219203429776,0.0833069074435571,-0.0200694956803339, Approved
